ticker,mae,rmse,r2,dpa,long_ret_mean,short_ret_mean,status
HOLX,0.009850781482478728,0.014647874522981615,-0.0040298977580190964,49.94850669412976,0.008481243992402113,0.04056825282150495,success
HON,0.009808965554056168,0.013636473219586427,-0.011950837541505832,51.493305870236874,0.04866993706574942,0.0,success
HOOK,,,,,,,skipped_volatile
HP,0.02271810712510663,0.03110686165834611,-0.03860354333899596,47.47682801235839,0.03607864433530313,0.02153487814083719,success
HRL,0.010404567082742615,0.015515407993191533,-0.009658159168692615,49.330587023686924,-0.02135751568115036,-0.24690550016275437,success
HST,0.013924037616841063,0.018828389715635677,-0.000167894413010794,51.493305870236874,0.037829698222768465,0.0,success
HSY,0.010811999146689882,0.014879403520457165,-0.00024807713189800573,49.53656024716786,0.025756347647896017,0.0,success
HUBS,0.021353565063567725,0.030707850799822675,-0.007460483388625372,50.48309178743962,-0.21407084848684277,0.17879916230622356,success
HUM,0.015254681556821961,0.024048304694774297,-0.010216215634997639,52.9351184346035,0.014730590708002849,-0.30363174032711565,success
HWM,0.015277427616929655,0.021787756259699774,-0.004845389884580387,55.654761904761905,0.3198097496414927,-0.2217742689197444,success
IBM,0.010993445137636356,0.016498965882093646,-0.018297659063212235,54.994850669412976,0.08625290230901363,0.9054297565505808,success
ICE,0.008587460235679772,0.012028760815832136,-0.008362606255188698,54.266666666666666,0.0757560289414817,0.0,success
IDXX,0.01600346572854584,0.023493397079378368,-0.04863712305072654,49.63954685890834,0.051092989753724755,0.0,success
ILMN,0.021488815192867425,0.02951774630384427,-0.006373660037874762,49.78947368421053,-0.027589466702155924,0.04076805786765579,success
INCY,0.013600248606734342,0.018998716367964016,-0.020314720068469905,50.87538619979403,0.03844649253912457,0.0,success
INTC,0.022404771835029178,0.03269191862840738,-1.5916130671422835e-05,49.53656024716786,0.06010566079978799,0.0,success
INTU,0.0222630243532494,0.028002899769326725,-0.5844421191689473,50.669412976313076,0.01665453013497898,0.0,success
INVH,0.010295549398727791,0.013551552401004394,-0.03765914329684694,46.17737003058104,-0.05114454129306081,0.0,success
IONS,0.01861046084223205,0.027172599925428982,-0.01960391283571572,49.53656024716786,0.08232705563957919,0.1318958832832305,success
IP,0.014334421248813985,0.02083447693867822,-0.010205540947299196,50.05149330587023,0.02810264936366181,0.7811039185082302,success
IQV,0.015912594824167094,0.02336987211782685,-0.018344345474446522,49.358974358974365,0.11531678179570286,-0.1375359267600157,success
IR,0.014454457582364992,0.02051923963364494,-0.005968793162413055,46.20253164556962,-0.0077725185127314675,0.0,success
ISRG,0.01400932496842568,0.020533830520426326,-0.014153569271114552,47.79874213836478,0.09403329266110666,0.1102179422433257,success
ITW,0.009938424800563065,0.013739910636401205,-0.018012809829179632,52.62615859938208,0.05909772369360564,0.0,success
JAMF,0.01760196092690196,0.026044808181467254,-0.16548460084502659,51.29533678756477,-0.09031777335001366,0.2758591245824649,success
JBHT,0.01421500848173915,0.020414824053332573,-0.008295289325681354,50.15447991761071,-0.38033408542958114,0.05754269905218542,success
JNJ,0.0077998178983139715,0.01082212741304651,-0.004403120963266227,49.22760041194645,0.10317530102787517,0.03435979345841348,success
JPM,0.010838244375433966,0.015438957951490183,-4.836319871825978e-05,55.09783728115345,0.11024295972699677,0.0,success
KALV,0.02901412562276597,0.03972892310393845,-0.000893524827597858,48.60759493670886,0.12222910788257987,-0.036210310667012524,success
KBH,0.01776824747124005,0.023735499727831722,-0.01700565285844946,51.59629248197734,0.09122940497647408,0.20330187465730037,success
KEY,0.017433241886147022,0.025444551159681226,-0.009552232469321797,51.18434603501545,0.16637491640351035,-0.02157166657770045,success
KGC,0.020804442889139137,0.02799382591175212,-0.00894844971195674,46.03501544799176,0.0,0.23074824692078172,success
KHC,0.01134691981939764,0.015101701791540415,-0.0029883344489154418,46.770025839793284,-0.47618075875333454,-0.011789123174241871,success
KLAC,0.01982641573667895,0.0272939856564848,-0.026720854361942825,46.54994850669413,-0.08646709873260702,0.21384201339702183,success
KMI,0.009967781409911019,0.014095661334388991,-0.04779956452017342,45.83333333333333,0.0,0.14732448387623603,success
KMPR,0.01594096941786582,0.02321203952289159,-0.00045219793727979685,50.56642636457261,-0.03322501691152291,0.3239655986230721,success
KO,0.007486231678311394,0.0101303466558509,-0.0004959316066730501,51.18434603501545,0.051080446433374206,-0.06395250115026126,success
