ticker,mae,rmse,r2,dpa,status
UNP,34.34734324751229,34.921758803101774,-2.217336158222842,49.4066882416397,success
COP,17.24803695185431,17.984746800329123,-2.204631452600185,53.07443365695793,success
SPGI,55.079683007865114,59.093589861908434,0.352534490277406,51.45631067961165,success
RTX,20.92449605053869,22.97290780088594,0.5241729741823112,51.1326860841424,success
GS,94.25957753740508,114.10821853735628,0.637619884055533,51.34843581445523,success
LOW,113.12639437872788,114.32460160773843,-15.705568283437483,49.29881337648328,success
BA,36.85239361894542,39.82940081644408,-0.857088892913751,51.34843581445523,success
T,3.4465036104465354,4.2683686342566585,0.3141296280720006,48.22006472491909,success
NKE,9.947091982282442,11.160289962560942,0.6232728859969214,50.48543689320388,success
UPS,32.48365603233206,33.94822745599887,-0.9591254366823065,49.730312837108954,success
DE,78.99180496150049,81.70348456542484,-0.7705634169586604,49.622437971952536,success
SBUX,33.022077272678246,33.53678211189864,-14.742954401308277,50.161812297734635,success
AXP,60.60210717957595,68.04256568134,0.17952594071458194,50.26968716289104,success
BLK,216.1784394034024,224.6092988630794,-0.4579918477898959,54.58468176914779,success
MDT,9.917619327019,10.348001965823581,-0.6301826120917149,49.730312837108954,success
LMT,77.65825442610115,82.22115098111301,-1.265218589109324,50.161812297734635,success
BKNG,724.3086582052297,779.8786439626633,0.601212676662691,52.85868392664509,success
ELV,56.35584636506159,60.68505331467029,0.1310521872061814,47.785547785547784,success
PLD,38.38328929605155,39.11819920149725,-15.420547916815643,49.94606256742179,success
GILD,16.84774363040924,18.212431359978076,0.3422538452772438,50.5933117583603,success
ADI,83.7751098172418,88.61893953633053,-3.638313362197259,46.4940668824164,success
TJX,39.55221658328484,42.204944415906056,-1.3341609223283881,49.083063646170444,success
SYK,118.94848618014106,130.09717841097358,-3.693574285962411,50.916936353829556,success
MMC,47.33263800061982,48.01364278593929,-2.8559563027302652,51.1326860841424,success
C,20.84702443254405,28.719379157031863,-0.600841304100358,48.43581445523193,success
REGN,76.06565212381297,81.99388333511541,0.7211685267643269,48.43581445523193,success
VRTX,137.36564246539413,141.96989433909314,-3.1225011995167984,46.92556634304207,success
ISRG,63.7982667860094,76.58323876646388,0.5894894350574827,47.524752475247524,success
MDLZ,9.605015229250284,9.881766735443225,-3.1521383775520038,49.65596330275229,success
ADP,49.401433434979666,51.239822998127124,-1.2320179289755044,50.05393743257821,success
CVS,10.898951304369959,11.634107933330867,-0.10016934059456628,53.07443365695793,success
SCHW,3.6127392300244034,4.552250649752204,0.9008404580508196,46.92556634304207,success
MO,9.454790754564877,10.61599034592887,-0.026932311634888517,53.82955771305286,success
PGR,34.64699125289917,38.4685678151302,0.4624268158707239,52.21143473570658,success
CB,62.25917829316238,63.717328435716986,-1.2052505341457258,50.05393743257821,success
CI,85.28338905860637,86.32542751249696,-7.978775731059505,48.86731391585761,success
ZTS,12.74637449062365,13.82807652383072,0.5171589269197006,48.49884526558891,success
BMY,9.879972519545719,10.71678677290935,-0.8532880536085476,49.94606256742179,success
SO,22.750056414768615,23.355519035593094,-2.7213119369358783,51.24056094929881,success
ETN,58.61278221524995,66.56816366167064,0.3548804736297445,50.48543689320388,success
DUK,24.88897178090852,25.872190199086756,-2.1851215364339565,50.161812297734635,success
EOG,23.19675085462373,23.646643547777156,-5.679698681036848,53.398058252427184,success
WM,63.50887278030659,64.87524594100532,-3.4622390280146265,50.48543689320388,success
BSX,17.143463693816088,18.92148556889708,0.3187060562462942,49.083063646170444,success
ITW,38.3450455830015,39.19495323795361,-1.4690543665071485,48.11218985976268,success
APD,56.12609029638356,59.36580959320173,-4.375584979098997,51.1326860841424,success
